wellname	depth	rop	wob	rpm	torque	spp	flwpmps
TestWell #1	2055	0.16	13.50	150	5052	1943	572
TestWell #1	2060	0.12	13.50	152	5023	1938	573
TestWell #1	2065	0.18	13.50	153	5034	1972	574
TestWell #1	2070	0.20	13.50	150	5045	1962	572
TestWell #1	2075	0.14	13.50	150	5093	1956	569
TestWell #1	2080	0.13	13.50	149	5064	1959	571
TestWell #1	2085	0.07	13.60	148	5069	1958	570
TestWell #1	2090	0.09	13.60	148	5095	1957	571
TestWell #1	2095	0.11	13.90	147	5091	1985	570
TestWell #1	2100	0.20	13.50	142	5170	2013	576
TestWell #1	2105	0.15	13.50	146	5239	2085	591
TestWell #1	2110	0.12	13.50	149	5260	2086	589
TestWell #1	2115	0.12	13.50	150	5250	2058	589
TestWell #1	2120	0.12	13.50	150	5241	2083	589
TestWell #1	2125	0.11	11.80	150	5262	2068	589
TestWell #1	2130	0.10	5.00	134	5318	2077	584
TestWell #1	2135	0.08	5.00	135	5417	2073	585
TestWell #1	2140	0.09	5.20	145	5443	2071	586
TestWell #1	2145	0.07	6.50	144	5441	2085	585
TestWell #1	2150	0.06	6.70	143	5434	2092	586
TestWell #1	2155	0.06	6.30	140	5446	2085	586
TestWell #1	2160	0.10	5.20	122	5474	2090	585
TestWell #1	2165	0.10	5.00	119	5513	2028	548
TestWell #1	2170	0.07	5.00	137	5510	2050	579
TestWell #1	2175	0.06	5.30	147	5507	2056	579
TestWell #1	2180	0.06	5.50	146	5512	2062	578
TestWell #1	2185	0.10	5.40	145	5523	2149	579
TestWell #1	2190	0.09	6.30	146	5530	2093	578
TestWell #1	2195	0.20	5.00	115	5565	1989	523
TestWell #1	2200	0.08	5.10	116	5615	2022	494
TestWell #1	2205	0.09	5.50	117	5607	2062	566
TestWell #1	2210	0.13	5.30	102	5600	2026	570
TestWell #1	2215	0.08	5.50	108	5602	2015	568
TestWell #1	2220	0.08	5.40	114	5604	2007	570
TestWell #1	2225	0.27	5.20	110	5608	2033	560
TestWell #1	2230	0.06	6.00	125	5562	2109	574
TestWell #1	2235	0.09	7.30	137	5571	2160	582
TestWell #1	2240	0.07	7.10	148	5565	2182	582
TestWell #1	2245	0.10	6.80	147	5571	2192	581
TestWell #1	2250	0.14	7.00	149	5583	2203	581
TestWell #1	2255	0.75	6.80	137	5643	2120	577
TestWell #1	2260	0.10	5.10	144	5739	2116	580
TestWell #1	2265	0.08	5.50	149	5738	2117	580
TestWell #1	2270	0.07	5.20	147	5739	2101	582
TestWell #1	2275	0.06	5.40	146	5738	2106	580
TestWell #1	2280	0.11	6.30	146	5759	2133	581
TestWell #1	2285	0.11	6.20	140	5787	2171	581
TestWell #1	2290	0.27	5.20	122	5778	2166	577
TestWell #1	2295	0.09	5.80	139	5756	2187	588
TestWell #1	2300	0.06	5.40	146	5755	2180	587
TestWell #1	2305	0.08	5.80	142	5760	2179	587
TestWell #1	2310	0.08	5.80	140	5758	2183	588
TestWell #1	2315	0.07	5.40	140	5753	2203	589
TestWell #1	2320	0.20	5.00	143	5748	2178	589
TestWell #1	2325	0.11	5.00	143	5683	2092	589
TestWell #1	2330	0.22	5.00	147	5676	2089	589
TestWell #1	2335	0.08	5.00	144	5676	2103	589
TestWell #1	2340	0.09	5.00	142	5662	2098	589
TestWell #1	2345	0.09	5.00	139	5676	2124	589
TestWell #1	2350	0.27	5.00	123	5676	2092	589
TestWell #1	2355	0.16	5.00	136	5647	2035	589
TestWell #1	2360	0.34	8.10	131	5625	2046	589
TestWell #1	2365	0.15	7.60	118	5618	2044	589
TestWell #1	2370	0.08	5.00	127	5625	2064	589
TestWell #1	2375	0.08	5.00	131	5625	2070	589
TestWell #1	2380	0.10	5.00	128	5618	2058	589
TestWell #1	2385	0.15	5.00	130	5560	2035	589
TestWell #1	2390	0.11	5.00	148	5553	2123	589
TestWell #1	2395	0.09	5.00	147	5546	2123	200
TestWell #1	2400	0.10	5.00	146	5546	2112	589
TestWell #1	2405	0.14	5.10	145	5553	2118	589
TestWell #1	2410	0.13	5.00	145	5546	2122	589
TestWell #1	2415	0.10	5.00	143	5568	2123	589
TestWell #1	2420	0.12	5.00	142	5553	2132	589
TestWell #1	2425	0.13	5.00	147	5546	2123	589
TestWell #1	2430	0.11	5.00	148	5531	2129	589
TestWell #1	2435	0.13	5.00	148	5524	2128	589
TestWell #1	2440	0.12	5.00	147	5539	2138	589
TestWell #1	2445	0.10	5.00	145	5524	2139	589
TestWell #1	2450	0.12	5.00	139	5488	2118	589
TestWell #1	2455	0.13	5.00	147	5481	2119	589
TestWell #1	2460	0.12	5.00	146	5481	2125	589
TestWell #1	2465	0.11	5.00	146	5488	2119	589
TestWell #1	2470	0.09	5.00	146	5495	2129	589
TestWell #1	2475	0.10	5.00	145	5539	2132	589
TestWell #1	2480	0.19	5.50	142	5510	2122	589
TestWell #1	2485	0.10	5.00	145	5495	2121	589
TestWell #1	2490	0.08	5.00	146	5503	2153	589
TestWell #1	2495	0.08	5.00	144	5503	2131	589
TestWell #1	2500	0.10	5.00	144	5517	2141	589
TestWell #1	2505	0.10	6.20	142	5286	2136	589
TestWell #1	2510	0.10	7.30	136	4288	2133	589
TestWell #1	2515	0.10	5.00	136	4244	2123	589
TestWell #1	2520	0.09	5.00	144	4237	2141	589
TestWell #1	2525	0.09	5.00	144	4230	2142	589
TestWell #1	2530	0.10	5.00	143	4223	2128	589
TestWell #1	2535	0.10	5.00	144	4201	2114	589
TestWell #1	2540	0.10	5.00	143	4121	2124	589
TestWell #1	2545	0.14	5.00	144	4013	2137	589
TestWell #1	2550	0.14	5.00	148	4006	2141	589
TestWell #1	2555	0.12	5.00	147	4013	2142	589
TestWell #1	2560	0.14	5.00	146	4013	2140	589
TestWell #1	2565	0.12	5.00	146	4013	2141	589
TestWell #1	2570	0.10	5.30	146	4056	2198	589
TestWell #1	2575	0.12	5.20	139	4071	2260	589
TestWell #1	2580	0.12	5.00	143	4085	2269	589
